@index,measuredValue.basicData.@xsi:type,measuredValue.basicData.measurementOrCalculationPeriod,measuredValue.basicData.forVehiclesWithCharacteristicsOf.vehicleType,measuredValue.basicData.averageVehicleSpeed.speed,DateTime,ID
21,TrafficSpeed,900.0,carOrLightVehicle,254.0,2025-09-03T02:05:00.000+02:00,14043016
21,TrafficSpeed,900.0,carOrLightVehicle,254.0,2025-09-03T02:05:00.000+02:00,14043017
21,TrafficSpeed,900.0,carOrLightVehicle,254.0,2025-09-03T02:05:00.000+02:00,14043018
21,TrafficSpeed,900.0,carOrLightVehicle,254.0,2025-09-03T02:05:00.000+02:00,14043020
21,TrafficSpeed,900.0,carOrLightVehicle,254.0,2025-09-03T02:05:00.000+02:00,14043021
21,TrafficSpeed,900.0,carOrLightVehicle,254.0,2025-09-03T02:05:00.000+02:00,14043022
21,TrafficSpeed,900.0,carOrLightVehicle,254.0,2025-09-03T02:05:00.000+02:00,14043023
21,TrafficSpeed,900.0,carOrLightVehicle,254.0,2025-09-03T02:05:00.000+02:00,14043024
21,TrafficSpeed,900.0,carOrLightVehicle,254.0,2025-09-03T02:05:00.000+02:00,14043025
21,TrafficSpeed,900.0,carOrLightVehicle,254.0,2025-09-03T02:05:00.000+02:00,14043027
21,TrafficSpeed,900.0,carOrLightVehicle,254.0,2025-09-03T02:05:00.000+02:00,14043028
21,TrafficSpeed,900.0,carOrLightVehicle,254.0,2025-09-03T02:05:00.000+02:00,14043029
21,TrafficSpeed,900.0,carOrLightVehicle,254.0,2025-09-03T02:05:00.000+02:00,14043030
21,TrafficSpeed,900.0,carOrLightVehicle,254.0,2025-09-03T02:05:00.000+02:00,14043031
21,TrafficSpeed,900.0,carOrLightVehicle,254.0,2025-09-03T02:05:00.000+02:00,14043032
21,TrafficSpeed,900.0,carOrLightVehicle,254.0,2025-09-03T02:05:00.000+02:00,14043034
21,TrafficSpeed,900.0,carOrLightVehicle,254.0,2025-09-03T02:05:00.000+02:00,14043035
21,TrafficSpeed,900.0,carOrLightVehicle,254.0,2025-09-03T02:05:00.000+02:00,14043036
21,TrafficSpeed,900.0,carOrLightVehicle,236.0,2025-09-03T02:05:00.000+02:00,14043044
21,TrafficSpeed,900.0,carOrLightVehicle,223.0,2025-09-03T02:05:00.000+02:00,4001012
21,TrafficSpeed,900.0,carOrLightVehicle,182.0,2025-09-03T02:05:00.000+02:00,4001013
21,TrafficSpeed,900.0,carOrLightVehicle,149.0,2025-09-03T02:05:00.000+02:00,4005011
21,TrafficSpeed,900.0,carOrLightVehicle,171.0,2025-09-03T02:05:00.000+02:00,4005012
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,4005013
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,4005014
21,TrafficSpeed,900.0,carOrLightVehicle,167.0,2025-09-03T02:05:00.000+02:00,4005015
21,TrafficSpeed,900.0,carOrLightVehicle,175.0,2025-09-03T02:05:00.000+02:00,4005016
21,TrafficSpeed,900.0,carOrLightVehicle,178.0,2025-09-03T02:05:00.000+02:00,4012011
21,TrafficSpeed,900.0,carOrLightVehicle,167.0,2025-09-03T02:05:00.000+02:00,4012012
21,TrafficSpeed,900.0,carOrLightVehicle,194.0,2025-09-03T02:05:00.000+02:00,4012013
21,TrafficSpeed,900.0,carOrLightVehicle,168.0,2025-09-03T02:05:00.000+02:00,4012014
21,TrafficSpeed,900.0,carOrLightVehicle,165.0,2025-09-03T02:05:00.000+02:00,4012015
21,TrafficSpeed,900.0,carOrLightVehicle,215.0,2025-09-03T02:05:00.000+02:00,4012016
21,TrafficSpeed,900.0,carOrLightVehicle,143.0,2025-09-03T02:05:00.000+02:00,4014011
21,TrafficSpeed,900.0,carOrLightVehicle,113.0,2025-09-03T02:05:00.000+02:00,4014012
21,TrafficSpeed,900.0,carOrLightVehicle,184.0,2025-09-03T02:05:00.000+02:00,4014013
21,TrafficSpeed,900.0,carOrLightVehicle,109.0,2025-09-03T02:05:00.000+02:00,4014014
21,TrafficSpeed,900.0,carOrLightVehicle,110.0,2025-09-03T02:05:00.000+02:00,4014015
21,TrafficSpeed,900.0,carOrLightVehicle,179.0,2025-09-03T02:05:00.000+02:00,4014016
21,TrafficSpeed,900.0,carOrLightVehicle,114.0,2025-09-03T02:05:00.000+02:00,4019011
21,TrafficSpeed,900.0,carOrLightVehicle,142.0,2025-09-03T02:05:00.000+02:00,4019012
21,TrafficSpeed,900.0,carOrLightVehicle,127.0,2025-09-03T02:05:00.000+02:00,4019013
21,TrafficSpeed,900.0,carOrLightVehicle,159.0,2025-09-03T02:05:00.000+02:00,4020013
21,TrafficSpeed,900.0,carOrLightVehicle,149.0,2025-09-03T02:05:00.000+02:00,4020014
21,TrafficSpeed,900.0,carOrLightVehicle,136.0,2025-09-03T02:05:00.000+02:00,4045011
21,TrafficSpeed,900.0,carOrLightVehicle,141.0,2025-09-03T02:05:00.000+02:00,4048011
21,TrafficSpeed,900.0,carOrLightVehicle,131.0,2025-09-03T02:05:00.000+02:00,4048012
21,TrafficSpeed,900.0,carOrLightVehicle,123.0,2025-09-03T02:05:00.000+02:00,4050011
21,TrafficSpeed,900.0,carOrLightVehicle,164.0,2025-09-03T02:05:00.000+02:00,4050012
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,4051011
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,4051012
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,4054011
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,4054012
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,4055011
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,4055012
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,4059011
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,4059012
21,TrafficSpeed,900.0,carOrLightVehicle,131.0,2025-09-03T02:05:00.000+02:00,4059013
21,TrafficSpeed,900.0,carOrLightVehicle,113.0,2025-09-03T02:05:00.000+02:00,4061011
21,TrafficSpeed,900.0,carOrLightVehicle,118.0,2025-09-03T02:05:00.000+02:00,4061012
21,TrafficSpeed,900.0,carOrLightVehicle,124.0,2025-09-03T02:05:00.000+02:00,4063011
21,TrafficSpeed,900.0,carOrLightVehicle,144.0,2025-09-03T02:05:00.000+02:00,4063012
21,TrafficSpeed,900.0,carOrLightVehicle,105.0,2025-09-03T02:05:00.000+02:00,4066011
21,TrafficSpeed,900.0,carOrLightVehicle,125.0,2025-09-03T02:05:00.000+02:00,4066012
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,4070011
21,TrafficSpeed,900.0,carOrLightVehicle,169.0,2025-09-03T02:05:00.000+02:00,4070012
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,4071011
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,4071012
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,4072011
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,4072012
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,4073011
21,TrafficSpeed,900.0,carOrLightVehicle,110.0,2025-09-03T02:05:00.000+02:00,4073012
21,TrafficSpeed,900.0,carOrLightVehicle,121.0,2025-09-03T02:05:00.000+02:00,4077011
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,4077012
21,TrafficSpeed,900.0,carOrLightVehicle,108.0,2025-09-03T02:05:00.000+02:00,4081011
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,4081012
21,TrafficSpeed,900.0,carOrLightVehicle,147.0,2025-09-03T02:05:00.000+02:00,4087011
21,TrafficSpeed,900.0,carOrLightVehicle,167.0,2025-09-03T02:05:00.000+02:00,4087012
21,TrafficSpeed,900.0,carOrLightVehicle,129.0,2025-09-03T02:05:00.000+02:00,4088011
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,4089011
21,TrafficSpeed,900.0,carOrLightVehicle,148.0,2025-09-03T02:05:00.000+02:00,4093011
21,TrafficSpeed,900.0,carOrLightVehicle,115.0,2025-09-03T02:05:00.000+02:00,4099011
21,TrafficSpeed,900.0,carOrLightVehicle,110.0,2025-09-03T02:05:00.000+02:00,4099012
21,TrafficSpeed,900.0,carOrLightVehicle,117.0,2025-09-03T02:05:00.000+02:00,4099013
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,4108011
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,4108012
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,4108022
21,TrafficSpeed,900.0,carOrLightVehicle,46.0,2025-09-03T02:05:00.000+02:00,4110011
21,TrafficSpeed,900.0,carOrLightVehicle,150.0,2025-09-03T02:05:00.000+02:00,4110012
21,TrafficSpeed,900.0,carOrLightVehicle,151.0,2025-09-03T02:05:00.000+02:00,4110021
21,TrafficSpeed,900.0,carOrLightVehicle,144.0,2025-09-03T02:05:00.000+02:00,4110022
21,TrafficSpeed,900.0,carOrLightVehicle,162.0,2025-09-03T02:05:00.000+02:00,4111011
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,4111012
21,TrafficSpeed,900.0,carOrLightVehicle,127.0,2025-09-03T02:05:00.000+02:00,4111013
21,TrafficSpeed,900.0,carOrLightVehicle,182.0,2025-09-03T02:05:00.000+02:00,4111014
21,TrafficSpeed,900.0,carOrLightVehicle,116.0,2025-09-03T02:05:00.000+02:00,4112011
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,4112012
21,TrafficSpeed,900.0,carOrLightVehicle,163.0,2025-09-03T02:05:00.000+02:00,4118014
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,14043004
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,14043005
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,14043006
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,14043007
21,TrafficSpeed,900.0,carOrLightVehicle,80.0,2025-09-03T02:05:00.000+02:00,14043008
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,14043012
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,14043013
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,14043014
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,14043015
22,TrafficSpeed,900.0,lorry,254.0,2025-09-03T02:05:00.000+02:00,14043016
22,TrafficSpeed,900.0,lorry,254.0,2025-09-03T02:05:00.000+02:00,14043017
22,TrafficSpeed,900.0,lorry,254.0,2025-09-03T02:05:00.000+02:00,14043018
22,TrafficSpeed,900.0,lorry,254.0,2025-09-03T02:05:00.000+02:00,14043020
22,TrafficSpeed,900.0,lorry,254.0,2025-09-03T02:05:00.000+02:00,14043021
