time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
343500,2025-09-03 17:23:06,48.1487754882179,11.5721887354,0,Available with any HD 360 subscription,Available with any HD 360 subscription,1692.870386849,0.328084,0,0,0,9,3,0,1692.870386849,0,0,0,0,0,0,205.5, -2.2, 3.4,0,0,364,364,364,1669,-100,-100,-100,98,1.9,21.7,-13,67,3.959,3.962,3.961,3.933,0,0,0,127.31,1692.870386849,0,6,P-GPS,
343600,2025-09-03 17:23:07,48.1487754015619,11.5721885304514,0,,,1692.870386849,0.328084,0,0.059064634436,0.059064634436,9,3,0,1692.870386849,0,0,0.059064634436,0,0,0,205.5, -2.2, 3.4,0,0,364,364,364,1678,-100,-100,-100,99,1.8,21.6,-13.1,67,3.959,3.962,3.961,3.933,0,0,0,127.31,1692.870386849,0,41,Motors_Started,
343700,2025-09-03 17:23:07,48.148775342026,11.5721883506194,0,,,1692.870386849,0.328084,0,0.107788061192,0.107933402404,9,3,0,1692.870386849,0,0,0.107788061192,0,0,0,205.5, -2.2, 3.4,0,0,364,364,364,1677,-100,-100,-100,99,1.7,21.7,-13,67,3.959,3.962,3.961,3.933,0,0,0,127.31,1692.870386849,0,41,Motors_Started,
343800,2025-09-03 17:23:07,48.1487752804382,11.5721880561768,0.328084,,,1693.198470849,0.328084,0,0.181891738104,0.183048234204,9,3,0,1693.198470849,0.328084,0,0.181891738104,0,0,0,205.5, -2.2, 3.3,0,0,364,364,364,1675,-100,-100,-100,99,1.6,21.7,-13,67,3.959,3.962,3.961,3.933,0,0,0,127.31,1693.198470849,0.328084,41,Motors_Started,
343900,2025-09-03 17:23:07,48.1487752361511,11.5721877841129,0.328084,,,1693.198470849,0.328084,0,0.249162737632,0.251218511976,9,3,0,1693.198470849,0.328084,0,0.249162737632,0,0,0,205.5, -2.2, 3.3,0,0,364,364,364,1660,-100,-100,-100,96,1.6,21.7,-13.2,67,3.959,3.962,3.961,3.933,0,0,0,127.31,1693.198470849,0.328084,41,Motors_Started,
344000,2025-09-03 17:23:07,48.1487751939744,11.5721875226349,0.328084,,,1693.198470849,0.328084,0,0.314133212152,0.316703094124,9,3,0,1693.198470849,0.328084,0,0.314133212152,0,0,0,205.5, -2.2, 3.4,0,0,365,364,364,1646,-100,-100,-100,94,1.6,21.7,-13.3,67,3.959,3.962,3.961,3.933,0,0,0,127.31,1693.198470849,0.328084,41,Motors_Started,
344100,2025-09-03 17:23:07,48.1487750998177,11.5721874322134,0.328084,,,1693.198470849,0.328084,0,0.34744423684,0.35750329228,9,3,0,1693.198470849,0.328084,0,0.34744423684,0,0,0,205.6, -2.2, 3.4,0,0,367,364,364,1639,-100,-100,-100,93,1.5,21.7,-13.3,67,3.959,3.962,3.961,3.933,0,0,0,127.31,1693.198470849,0.328084,41,Motors_Started,
344200,2025-09-03 17:23:07,48.1487750092339,11.5721873489705,0.328084,,,1693.198470849,0.328084,0,0.38005578644,0.39626969772,9,3,15.764,1693.198470849,0.328084,0,0.38005578644,0,0,0,205.4, -2.2, 3.3,0,0,373,364,364,1617,-99,-100,-100,90,1.4,21.6,-13.4,67,3.959,3.962,3.961,3.933,0,0,1.634,127.31,1693.198470849,0.328084,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 246. Setting new Maximum Flight Altitude to 500m (1640 ft)"
344300,2025-09-03 17:23:07,48.1487749342766,11.5721871651022,0,,,1692.870386849,0.328084,0,4.9386156436,0.44872376764,9,3,15.764,1693.198470849,0.328084,0,4.9386156436,0,0,0,205.5, -2.2, 3.3,0,0,720,672,520,1506,-46,-53,-76,73,1.4,21.7,-13.4,67,3.959,3.962,3.961,3.933,0,0,1.634,127.31,1692.870386849,0,41,Motors_Started,
344400,2025-09-03 17:23:07,48.1487748751218,11.5721869573754,0.328084,,,1693.198470849,0.328084,0,4.884842676,0.50370080352,9,3,15.764,1693.198470849,0.328084,0,4.9386156436,0,0,0,205.4, -2.2, 3.4,0,0,1024,1024,1021,1101,0,0,-0,12,1.3,21.7,-13.5,67,3.959,3.962,3.961,3.933,0,0,1.634,127.31,1693.198470849,0.328084,41,Motors_Started,
344500,2025-09-03 17:23:07,48.1487748287535,11.5721868380834,0.328084,,,1693.198470849,0.328084,0,4.851378108,0.53730972848,9,3,15.764,1693.198470849,0.328084,0,4.9386156436,0,0,0,205.4, -2.2, 3.4,0,0,1024,1024,1024,1024,0,0,0,0,1.4,21.7,-13.6,67,3.959,3.962,3.961,3.933,0,0,1.634,127.31,1693.198470849,0.328084,41,Motors_Started,
344600,2025-09-03 17:23:08,48.1487747919506,11.5721867226254,0.328084,,,1693.198470849,0.328084,0,4.820702254,0.56845802344,9,3,15.764,1693.198470849,0.328084,0,4.9386156436,0,0,0,205.3, -2.2, 3.4,0,0,1024,1024,1024,1024,0,0,0,0,1.3,21.7,-13.6,67,3.959,3.962,3.961,3.933,0,0,1.634,127.31,1693.198470849,0.328084,41,Motors_Started,
344700,2025-09-03 17:23:08,48.1487749276782,11.572186554766,0.328084,,,1693.198470849,0.328084,0,4.8165027788,0.6326607814,9,3,15.764,1693.198470849,0.328084,0,4.9386156436,0,0,0,205.3, -2.2, 3.4,0,0,1024,1024,1024,1024,0,0,0,0,1.3,21.7,-13.6,67,3.959,3.962,3.961,3.933,0,0,1.634,127.31,1693.198470849,0.328084,41,Motors_Started,
344800,2025-09-03 17:23:08,48.1487749265643,11.5721863684742,0.328084,,,1693.198470849,0.328084,0,4.7797245624,0.67800855188,9,3,15.764,1693.198470849,0.328084,0,4.9386156436,0,0,0,205.3, -2.2, 3.4,0,0,1024,1024,1024,1024,0,0,0,0,1.3,21.7,-13.8,67,3.959,3.962,3.961,3.933,0,0,1.634,127.31,1693.198470849,0.328084,41,Motors_Started,
344900,2025-09-03 17:23:08,48.1487748454743,11.5721861555813,0.328084,,,1693.198470849,0.328084,0,4.7204397836,0.73768375064,9,3,15.764,1693.198470849,0.328084,0,4.9386156436,0,0,0,205.2, -2.2, 3.4,0,0,1024,1024,1024,1024,0,0,0,0,1.2,21.7,-13.8,67,3.959,3.962,3.961,3.933,0,0,1.634,127.31,1693.198470849,0.328084,41,Motors_Started,
345000,2025-09-03 17:23:08,48.1487747710414,11.5721859450476,0.328084,,,1693.198470849,0.328084,0,4.6631235088,0.795685721,9,3,15.764,1693.198470849,0.328084,0,4.9386156436,0,0,0,205.2, -2.2, 3.4,0,0,1024,1024,1024,1024,0,0,0,0,1.1,21.7,-13.8,67,3.959,3.962,3.961,3.933,0,0,1.634,127.31,1693.198470849,0.328084,41,Motors_Started,
345100,2025-09-03 17:23:08,48.1487747656154,11.5721853593755,0,,,1692.870386849,0.328084,0,4.5483597256,0.93826774656,9,3,15.764,1693.198470849,0.328084,0,4.9386156436,0,0,0,205.2, -2.2, 3.4,0,0,1024,1024,1024,1024,0,0,0,0,1.1,21.7,-13.8,67,3.959,3.962,3.961,3.933,0,0,1.634,127.31,1692.870386849,0,10,Assisted_Takeoff,
345200,2025-09-03 17:23:08,48.1487747552846,11.5721850528432,0,,,1692.870386849,0.328084,0,4.4872376764,1.01297903504,9,3,15.701,1693.198470849,0.328084,0,4.9386156436,0,0,0,205.2, -2.2, 3.4,0,0,1024,1024,1024,1024,0,0,0,0,1.1,21.7,-14,67,3.931,3.956,3.951,3.919,0,0,4.972,127.31,1692.870386849,0,10,Assisted_Takeoff,
345300,2025-09-03 17:23:08,48.148774718257,11.5721848546062,0,,,1692.870386849,0.328084,0,4.4410106408,1.0630905852,9,3,15.701,1693.198470849,0.328084,0,4.9386156436,0,0,0,205.1, -2.2, 3.4,0,0,1024,1024,1024,1024,0,0,0,0,1,21.7,-14,67,3.931,3.956,3.951,3.919,0,0,4.972,127.31,1692.870386849,0,10,Assisted_Takeoff,
