time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
23400,2025-09-03 09:39:07,0,0,0,Available with any HD 360 subscription,Available with any HD 360 subscription,1692.2566312519,0.328084,0,0,0,7,0,0,1692.2566312519,0,0,0,0,0,0,75, -0.9, -1,0,0,367,364,364,1684,-100,-100,-100,100,317.4,-4.4,-21.5,99,4.304,4.307,4.308,4.305,0,0,0,89.51,1692.2566312519,0,6,P-GPS,
23500,2025-09-03 09:39:08,0,0,0,,,1692.2566312519,0.328084,0,0,0,7,0,0,1692.2566312519,0,0,0,0,0,0,75.1, -0.9, -1,0,0,366,364,364,1684,-100,-100,-100,100,317.3,-4.4,-21.7,99,4.304,4.307,4.308,4.305,0,0,0,89.51,1692.2566312519,0,41,Motors_Started,
23600,2025-09-03 09:39:08,0,0,0,,,1692.2566312519,0.328084,0,0,0,7,0,0,1692.2566312519,0,0,0,0,0,0,74.9, -0.9, -1,0,0,373,364,364,1684,-99,-100,-100,100,317.2,-4.4,-21.6,99,4.304,4.307,4.308,4.305,0,0,0,89.51,1692.2566312519,0,41,Motors_Started,
23700,2025-09-03 09:39:08,0,0,0,,,1692.2566312519,0.328084,0,0,0,7,0,0,1692.2566312519,0,0,0,0,0,0,75.1, -0.9, -1,0,0,1024,1024,1024,1045,0,0,0,3,317.2,-4.5,-21.7,99,4.304,4.307,4.308,4.305,0,0,0,89.51,1692.2566312519,0,41,Motors_Started,
23800,2025-09-03 09:39:08,0,0,0,,,1692.2566312519,0.328084,0,0,0,7,0,0,1692.2566312519,0,0,0,0,0,0,75, -0.9, -1,0,0,1024,1024,1024,1024,0,0,0,0,317.1,-4.5,-21.7,99,4.304,4.307,4.308,4.305,0,0,0,89.51,1692.2566312519,0,41,Motors_Started,
23900,2025-09-03 09:39:08,0,0,0,,,1692.2566312519,0.328084,0,0,0,7,0,0,1692.2566312519,0,0,0,0,0,0,75.1, -0.9, -1,0,0,1024,1024,1024,1024,0,0,0,0,317,-4.5,-21.8,99,4.304,4.307,4.308,4.305,0,0,0,89.51,1692.2566312519,0,41,Motors_Started,
24000,2025-09-03 09:39:08,0,0,0,,,1692.2566312519,0.328084,0,0,0,7,0,17.108,1692.2566312519,0,0,0,0,0,0,75.2, -0.9, -1,0,0,1024,1024,1024,1024,0,0,0,0,316.9,-4.6,-21.9,99,4.304,4.307,4.308,4.305,0,0,1.598,89.51,1692.2566312519,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 237. Setting new Maximum Flight Altitude to 30m (98 ft)"
24100,2025-09-03 09:39:08,0,0,0,,,1692.2566312519,0.328084,0,0,0,7,0,17.108,1692.2566312519,0,0,0,0,0,0,75, -0.9, -1,0,0,1024,1024,1024,1024,0,0,0,0,316.9,-4.6,-21.8,99,4.304,4.307,4.308,4.305,0,0,1.598,89.51,1692.2566312519,0,41,Motors_Started,
24200,2025-09-03 09:39:08,0,0,0,,,1692.2566312519,0.328084,0,0,0,7,0,17.108,1692.2566312519,0,0,0,0,0,0,75.1, -0.9, -1,0,0,1024,1024,1024,1024,0,0,0,0,316.8,-4.6,-21.8,99,4.304,4.307,4.308,4.305,0,0,1.598,89.51,1692.2566312519,0,41,Motors_Started,
24300,2025-09-03 09:39:08,0,0,0,,,1692.2566312519,0.328084,0,0,0,7,0,17.108,1692.2566312519,0,0,0,0,0,0,75, -0.9, -1,0,0,1024,1024,1024,1024,0,0,0,0,316.8,-4.6,-21.8,99,4.304,4.307,4.308,4.305,0,0,1.598,89.51,1692.2566312519,0,41,Motors_Started,
24400,2025-09-03 09:39:08,0,0,0,,,1692.2566312519,0.328084,0,0,0,7,0,17.108,1692.2566312519,0,0,0,0,0,0,75.1, -0.9, -1,0,0,1024,1024,1024,1024,0,0,0,0,316.7,-4.6,-21.8,99,4.304,4.307,4.308,4.305,0,0,1.598,89.51,1692.2566312519,0,41,Motors_Started,
24500,2025-09-03 09:39:09,0,0,0,,,1692.2566312519,0.328084,0,0,0,7,0,17.108,1692.2566312519,0,0,0,0,0,0,75, -0.9, -1,0,0,1024,1024,1024,1024,0,0,0,0,316.7,-4.7,-21.8,99,4.304,4.307,4.308,4.305,0,0,1.598,89.51,1692.2566312519,0,41,Motors_Started,
24600,2025-09-03 09:39:09,0,0,0,,,1692.2566312519,0.328084,0,0,0,7,0,17.108,1692.2566312519,0,0,0,0,0,0,75.1, -0.9, -1,0,0,1024,1024,1024,1024,0,0,0,0,316.6,-4.7,-21.8,99,4.304,4.307,4.308,4.305,0,0,1.598,89.51,1692.2566312519,0,41,Motors_Started,
24700,2025-09-03 09:39:09,0,0,0,,,1692.2566312519,0.328084,0,0,0,7,0,17.108,1692.2566312519,0,0,0,0,0,0,75.1, -0.9, -1,0,0,1024,1024,1024,1024,0,0,0,0,316.5,-4.7,-22,99,4.304,4.307,4.308,4.305,0,0,1.598,89.51,1692.2566312519,0,41,Motors_Started,
